vertical,subtipo,preparacion_100,atractivo_100,prompt_5,variables_5,lenguaje_5,navegacion_5,ajuste_experiencia_100,confianza,benchmark,alertas
salud,dental,47,87,2,2,2,2,40,A,NexHealth,SOR REG CAP PAY E2E
salud,medica_general,38,75,1,1,2,2,30,B,Pabau,STOP SOR REG CAP E2E
salud,dermatologia,43,86,1,2,1,2,30,A,Pabau,SOR REG CAP PAY UX E2E
salud,psicologia,40,86,1,2,2,2,35,A,SimplePractice,SOR REG PAY E2E
salud,farmacia,30,65,3,2,2,1,40,B,PioneerRx,STOP SOR REG LIVE PAY UX E2E
moda_belleza,salon_belleza,42,84,1,2,2,2,35,A,Zenoti,CAP PAY UX E2E
moda_belleza,barberia,41,75,1,2,1,2,30,B,SQUIRE,CAP PAY UX E2E
moda_belleza,spa,43,85,1,2,2,2,35,A,Zenoti,CAP PAY UX WRITER E2E
moda_belleza,estetica,45,88,1,2,1,2,30,A,Pabau,SOR REG CAP PAY UX E2E
inmobiliaria,venta,52,84,2,2,2,2,40,A,Lofty,LIVE UX SOR E2E
inmobiliaria,arriendo,48,84,2,2,1,2,35,A,AppFolio,LIVE UX SOR PAY REG E2E
inmobiliaria,comercial,39,70,2,1,1,2,30,B,Buildout,STOP SOR LIVE UX E2E
inmobiliaria,construccion,29,60,0,0,0,1,5,C,Buildertrend,STOP MISCLASS SOR PAY E2E
restaurantes,casual_dining,48,74,2,2,2,2,40,A,SevenRooms,SOR LIVE CAP PAY E2E
restaurantes,comida_rapida,50,76,2,3,2,3,50,A,Toast,SOR LIVE PAY E2E
restaurantes,cafeteria,46,70,1,2,1,2,30,B,Lightspeed,SOR LIVE PAY E2E
restaurantes,dark_kitchen,49,77,2,3,1,3,45,A,Deliverect,SOR LIVE CAP PAY E2E
automotriz,concesionario,50,75,2,3,2,3,50,A,Tekion,SOR LIVE REG PAY E2E
automotriz,taller,30,75,2,2,2,2,40,A,Shopmonkey,STOP MISCLASS SOR CAP PAY E2E
automotriz,repuestos,38,68,3,3,2,3,55,B,PartsTech,SOR LIVE PAY E2E
automotriz,alquiler,27,66,3,2,2,1,40,B,HQ Rental Software,STOP WRITER CAP LIVE PAY REG E2E
turismo,agencia_viajes,39,68,2,2,2,2,40,B,Travefy,STOP MISCLASS SOR LIVE PAY E2E
turismo,hotel,49,84,1,3,0,1,25,A,Cloudbeds,SOR LIVE CAP PAY E2E
turismo,tours,52,74,2,3,2,1,40,B,Rezdy,CAP LIVE PAY UX E2E
turismo,alquiler_vacacional,51,86,1,3,0,1,25,A,Guesty,SOR LIVE PAY REG E2E
education,idiomas,43,76,1,2,2,2,35,A,Teachworks,CAP PAY SOR E2E
education,universitaria,25,65,1,1,1,2,25,B,Element451,STOP MISCLASS SOR REG PAY E2E
