vertical,subtipo,grupos_verticales_actuales,contexto_activo,writer_principal,menu_operativo,cohesion_5,estado,brecha_principal,alertas
salud,dental,appointments|treatments,appointment,create_appointment,Agenda|Tratamientos,2,parcial,"Plan clínico solo lectura; sin staff/sillón/consentimiento/SoR clínico ni objeto tratamiento entre turnos","CTX SOR DATA PLAN"
salud,medica_general,appointments,appointment,create_appointment,Agenda,2,estrecho,"Agenda útil pero sin intake/triage/EHR/referral ni recursos clínicos","SOR REG DATA PLAN"
salud,dermatologia,appointments|treatments,appointment,create_appointment,Agenda|Tratamientos,2,parcial,"Sin fotos clínicas/consentimiento/equipo/lotes; tratamiento no permanece activo","CTX SOR REG MEDIA"
salud,psicologia,appointments|treatments,appointment,create_appointment,Agenda|Tratamientos,2,riesgo,"Sin crisis determinista/EHR/telehealth/recurrencia; default de venta inadecuado","CTX SOR REG PROMPT"
salud,farmacia,catalog,order_if_orders_toggle,place_catalog_order,Inventario_sin_Pedidos,2,desconectado,"Pedido conversacional existe pero menú no expone Pedidos; sin Rx/lote/vencimiento/validación farmacéutica","UI SOR REG DATA"
moda_belleza,salon_belleza,appointments,appointment,create_appointment,Agenda,2,estrecho,"Sin estilista/silla/cola/POS/paquetes; subflags de book/cancel no gobiernan registro","DATA AUTH PLAN"
moda_belleza,barberia,appointments,appointment,create_appointment,Agenda,2,estrecho,"Sin barbero/silla/walk-in/cola/membresía/POS","DATA AUTH PLAN"
moda_belleza,spa,appointments|treatments,appointment,create_appointment,Agenda|Tratamientos,2,parcial,"Tratamientos solo lectura; sin cabina/terapeuta/paquete/gift card/consentimiento","CTX DATA PAY"
moda_belleza,estetica,appointments|treatments,appointment,create_appointment,Agenda|Tratamientos,2,riesgo,"Sin modo médico/no médico, profesional/equipo/lote, consentimiento ni media clínica","CTX REG DATA MEDIA"
inmobiliaria,venta,appointments|realEstate,appointment,create_appointment,Agenda|Inmuebles,2,parcial,"Listings se consultan/envían pero no se crean/actualizan por agente; fotos no administrables en web y listing no es objeto activo","CTX WRITE MEDIA UI"
