"profile","task","commits","required_configuration","required_slots","tools","effect_verifiers","states","confirmation","channels","languages","gaps","execution_evidence"
"automotriz/alquiler","ask_question","false","business_identity | pipeline | faq_content | vehicle_inventory","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/alquiler","schedule_test_drive","true","business_identity | pipeline | faq_content | vehicle_inventory","vehicle_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","search_vehicles | get_vehicle_details | schedule_test_drive","","collecting > confirming > scheduled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","effect_verifier_missing | positive_task_case_missing | profile_execution_evidence_missing","not_run"
"automotriz/alquiler","rent_vehicle","true","business_identity | pipeline | faq_content | vehicle_inventory","pickup_at:datetime:customer | return_at:datetime:customer | driver_name:text:customer | customer_name:text:customer","check_vehicle_rental_availability | create_vehicle_rental","resource_rentals:resource_rentals.contact_id","collecting > confirming > pending_review > reserved > rejected > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
"automotriz/concesionario","ask_question","false","business_identity | pipeline | faq_content | appointment_services | vehicle_inventory","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/concesionario","book_appointment","true","business_identity | pipeline | faq_content | appointment_services | vehicle_inventory","service_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","list_services | check_availability | create_appointment","appointments:appointments.contact_id","collecting > confirming > booked > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/concesionario","cancel_appointment","true","business_identity | pipeline | faq_content | appointment_services | vehicle_inventory","appointment_id:reference:tool","list_customer_appointments | cancel_appointment | get_appointment_details","appointments:appointments.contact_id","identifying > confirming > cancelled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/concesionario","schedule_test_drive","true","business_identity | pipeline | faq_content | appointment_services | vehicle_inventory","vehicle_id:reference:tool | starts_at:datetime:customer | customer_name:text:customer","search_vehicles | get_vehicle_details | schedule_test_drive","","collecting > confirming > scheduled > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","effect_verifier_missing | positive_task_case_missing | profile_execution_evidence_missing","not_run"
"automotriz/repuestos","ask_question","false","business_identity | pipeline | faq_content | catalog_items","question:text:customer","search_faqs | search_knowledge_base","","answered > not_found > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/repuestos","browse_catalog","false","business_identity | pipeline | faq_content | catalog_items","","search_products | get_product | check_stock","","listed > empty > handed_off","none","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","profile_execution_evidence_missing","not_run"
"automotriz/repuestos","place_catalog_order","true","business_identity | pipeline | faq_content | catalog_items","items:reference:customer | customer_name:text:customer","get_product | check_stock | place_catalog_order | search_products","catalog_orders:orders.contact_id","collecting > confirming > ordered > handed_off","explicit","whatsapp | instagram | messenger | telegram | web_widget","es | en | pt | fr","positive_task_case_missing | profile_execution_evidence_missing","not_run"
