vertical,subtipo,tool_groups_efectivos,tool_cohesion_100,clasificacion,gap_determinante
salud,dental,FAQ|appointments|treatments,57,parcial,"Cita sólida; planes solo lectura; sin odontograma/media/documentos"
salud,medica_general,FAQ|appointments,56,parcial,"Agenda sin intake clínico/labs/teleconsulta/seguimiento"
salud,dermatologia,FAQ|appointments|treatments,54,desalineado,"Sin fotos clínicas/consentimiento/writer de tratamiento"
salud,psicologia,FAQ|appointments|treatments,50,desalineado,"Sin crisis/evaluaciones/consentimiento y datos A2"
salud,farmacia,FAQ|catalog,25,bloqueado,"place_catalog_order roto; sin Rx/interacciones/control regulatorio"
moda_belleza,salon_belleza,FAQ|appointments,62,parcial,"Sin silla/recurso/variantes/paquetes/waitlist"
moda_belleza,barberia,FAQ|appointments,62,parcial,"Agenda genérica sin recurrencia/recurso físico"
moda_belleza,spa,FAQ|appointments|treatments,54,desalineado,"Paquetes solo lectura; sin sesiones/consentimiento"
moda_belleza,estetica,FAQ|appointments|treatments,52,desalineado,"Sin contraindicaciones/consentimiento/writer de plan"
inmobiliaria,venta,FAQ|appointments|realEstate,67,parcial_alto,"Búsqueda/fotos/visita; sin favoritos/comparación/documentos"
inmobiliaria,arriendo,FAQ|appointments|realEstate,66,parcial_alto,"Sin solicitud/estudio/depósito/contrato"
inmobiliaria,comercial,FAQ|appointments|realEstate,50,desalineado,"Sin zoning/NOI/cap rate/lease B2B"
inmobiliaria,construccion,FAQ|appointments|realEstate,28,bloqueado,"Toolset de inmueble no modela proyecto/obra/unidad/avance"
restaurantes,casual_dining,FAQ|appointments|restaurants,62,parcial,"Reserva de mesa es cita sin party/table capacity"
restaurantes,comida_rapida,FAQ|restaurants,72,utilizable_incompleto,"Falta zona/fee/ETA y write-back POS"
restaurantes,cafeteria,FAQ|appointments|restaurants,61,parcial,"Citas no modelan mesa/turno/waitlist"
restaurantes,dark_kitchen,FAQ|restaurants,70,utilizable_incompleto,"Falta delivery orchestration/POS write-back"
automotriz,concesionario,FAQ|appointments|vehicles,68,parcial_alto,"Inventario/fotos/test drive; falta DMS/F&I"
automotriz,taller,FAQ|appointments|vehicles,30,bloqueado,"Tools de venta/test drive; sin OT/VIN/diagnóstico/cotización"
automotriz,repuestos,FAQ|catalog,25,bloqueado,"Writer roto y sin compatibilidad make/model/year/VIN"
automotriz,alquiler,FAQ|vehicles|orphan_resource_rental,20,bloqueado,"ResourceRentals no expuesto al agente"
turismo,agencia_viajes,FAQ|tours,50,desalineado,"Paquetes sin itinerario/proveedores/vuelo+hotel/cotización compuesta"
turismo,hotel,FAQ|properties,54,desalineado,"Booking local vs Hostaway split-brain; OTP check-in inalcanzable"
turismo,tours,FAQ|tours,67,parcial_alto,"Catálogo/cupo/reserva coherentes; faltan operación/pago profundo"
turismo,alquiler_vacacional,FAQ|properties,56,parcial,"Fotos/reserva; sin PMS/fees/depósito/owner sync"
education,idiomas,FAQ|appointments|education,65,parcial_alto,"Placement/cohorte/inscripción útiles; falta LMS/progreso"
education,universitaria,FAQ|appointments|education,42,desalineado,"Sin admisión/documentos/requisitos/ayuda financiera"
education,online,FAQ|appointments|education,40,desalineado,"Sin acceso/progreso/contenido/soporte de curso"
education,capacitacion,FAQ|appointments|education,45,desalineado,"Sin cohortes corporativas/roster/certificados"
finanzas,asesoria,FAQ|appointments,28,bloqueado,"Solo agenda; sin KYC/simulador/documentos/disclosures"
finanzas,fintech,FAQ|appointments,20,bloqueado,"Sin producto/onboarding/estado/transacción definidos"
finanzas,creditos,FAQ|appointments,22,bloqueado,"Sin solicitud/simulación/documentos/underwriting/estado"
servicios_profesionales,abogados,FAQ|appointments|professionalCase,48,desalineado,"Caso es oportunidad CRM; sin intake/documentos/tareas/factura"
servicios_profesionales,contadores,FAQ|appointments|professionalCase,48,desalineado,"Sin ejercicio fiscal/documentos/obligaciones/vencimientos"
servicios_profesionales,arquitectos,FAQ|appointments|professionalCase,45,desalineado,"Sin proyecto/entregables/planos/avance"
servicios_profesionales,consultores,FAQ|appointments|professionalCase,49,desalineado,"Sin diagnóstico/propuesta/proyecto/milestone"
retail,moda,FAQ|catalog,29,bloqueado,"Sin variantes talla/color y writer roto"
retail,electronica,FAQ|catalog,29,bloqueado,"Sin specs/serial/garantía y writer roto"
retail,hogar,FAQ|catalog,29,bloqueado,"Sin dimensiones/material/ensamble y writer roto"
retail,marketplace,FAQ|catalog,24,bloqueado,"Sin seller/fulfillment/comisión; writer roto"
technology,saas,FAQ|appointments,38,desalineado,"Sin planes/trial/provisioning/subscription/tickets"
technology,consultoria_ti,FAQ|appointments,45,desalineado,"Sin intake técnico/assessment/propuesta/proyecto"
technology,desarrollo,FAQ|appointments,43,desalineado,"Sin requisitos/estimación/milestones/estado"
technology,hardware,FAQ|catalog,27,bloqueado,"Writer roto; sin serial/compatibilidad/garantía"
veterinaria,clinica_general,FAQ|appointments|pets,62,parcial,"Pets/vacunas/citas; sin historia/labs/prescripción"
veterinaria,hospital_24h,FAQ|appointments|pets,52,desalineado,"Triage heurístico; sin on-call/capacidad/SLA"
veterinaria,exoticos,FAQ|appointments|pets,48,desalineado,"Mismo modelo; sin protocolo/campos por especie"
veterinaria,peluqueria_canina,FAQ|appointments|pets,51,desalineado,"Toolset clínico; sin talla/pelaje/paquete grooming"
gimnasios,gimnasio_general,FAQ|appointments|gyms,65,parcial_alto,"Clase/membresía operan; sin compra/renovación/pago"
gimnasios,crossfit,FAQ|appointments|gyms,58,parcial,"Sin nivel/WOD/cupo/equipamiento/waiver"
gimnasios,yoga_pilates,FAQ|appointments|gyms,58,parcial,"Sin nivel/reformer-mat/recurrencia"
gimnasios,cycling,FAQ|appointments|gyms,56,parcial,"Sin asignación de bicicleta/recurso"
gimnasios,martial_arts,FAQ|appointments|gyms,54,desalineado,"Sin cinturón/nivel/waiver/menores"
seguros,broker,FAQ|insurance,58,parcial,"Cotiza/reclama; no compara carriers ni bind"
seguros,aseguradora,FAQ|insurance,60,parcial,"Sin underwriting/documentos/renovación/pago"
seguros,vida,FAQ|insurance,50,desalineado,"Sin beneficiarios/medical underwriting/consentimiento"
seguros,auto,FAQ|insurance,50,desalineado,"Sin vehículo/evidencia/inspección/rating real"
seguros,salud,FAQ|insurance,46,desalineado,"Sin red/preautorización/beneficios médicos"
servicios_hogar,plomeria,FAQ|homeServices,62,parcial,"Intake/escalada; sin fotos/cotización/técnico/ETA"
servicios_hogar,electricidad,FAQ|homeServices,61,parcial,"Sin protocolo de riesgo/dispatch real"
servicios_hogar,fumigacion,FAQ|homeServices,59,parcial,"Sin área/plaga/seguridad/producto/recurrencia"
servicios_hogar,limpieza,FAQ|homeServices,60,parcial,"Sin metros/frecuencia/equipo/precio/slot"
servicios_hogar,jardineria,FAQ|homeServices,58,parcial,"Sin área/frecuencia/insumos/cotización"
servicios_hogar,cerrajeria,FAQ|homeServices,61,parcial,"Sin verificación de titularidad/técnico/ETA"
servicios_hogar,pintura,FAQ|homeServices,59,parcial,"Sin superficie/material/color/cotización"
pet_services,peluqueria,FAQ|appointments|petServices|pets,55,parcial,"Agenda genérica; sin tamaño/pelaje/servicio-mascota obligatorio"
pet_services,guarderia,FAQ|petServices|pets|orphan_resource_rental,22,bloqueado,"Consulta capacidad; no crea/lista/cancela boarding"
pet_services,hotel,FAQ|petServices|pets|orphan_resource_rental,22,bloqueado,"ResourceRentals no expuesto y OTP vacuna inalcanzable"
pet_services,paseos,FAQ|appointments|petServices|pets,46,desalineado,"Sin recurrencia/ruta/duración/paseador"
pet_services,adiestramiento,FAQ|appointments|petServices|pets,45,desalineado,"Sin objetivos/paquete/progreso/sesiones"
fotografia,estudio,FAQ|photography,60,parcial,"Paquetes/portfolio/fecha/cotización; sin booking/pago/entrega"
fotografia,bodas,FAQ|photography,56,parcial,"Sin contrato/anticipo/shot list/timeline"
fotografia,eventos,FAQ|photography,56,parcial,"Sin cobertura por horas/equipo/entrega"
fotografia,producto,FAQ|photography,43,desalineado,"Sin SKU/shot list/asset workflow/aprobación"
fotografia,wedding_planner,FAQ|photography,20,bloqueado,"Toolset equivocado; requiere vendors/invitados/timeline/presupuesto"
otro,(sin_subtipo),FAQ|catalog,23,bloqueado,"Asume productos; writer roto; objetivo libre no selecciona tools"
