vertical,subtipo,preparacion_100,atractivo_100,confianza,benchmark,alertas,brecha_principal
salud,dental,47,87,A,NexHealth,"SOR REG CAP PAY E2E","PMS/EHR, consentimientos, sillón/staff, recall y pagos"
salud,medica_general,38,75,B,Pabau,"STOP SOR REG CAP E2E","Solo agenda; falta EHR, intake clínico y recursos"
salud,dermatologia,43,86,A,Pabau,"SOR REG CAP PAY UX E2E","Fotos clínicas, consentimiento, EMR, lotes y recursos"
salud,psicologia,40,86,A,SimplePractice,"SOR REG PAY E2E","EHR protegido, notas, telehealth y protocolo de crisis"
salud,farmacia,30,65,B,PioneerRx,"STOP SOR REG LIVE PAY UX E2E","Catálogo OTC no cubre receta, lotes, validación ni dispensación"
moda_belleza,salon_belleza,42,84,A,Zenoti,"CAP PAY UX E2E","Staff/resources UI, POS, comisiones, paquetes y rebooking"
moda_belleza,barberia,41,75,B,SQUIRE,"CAP PAY UX E2E","Cola/walk-in, silla, membresía, tips/comisión y POS"
moda_belleza,spa,43,85,A,Zenoti,"CAP PAY UX WRITER E2E","Cabina/equipo, multiservicio, paquetes, POS e inventario"
moda_belleza,estetica,45,88,A,Pabau,"SOR REG CAP PAY UX E2E","EMR, consentimientos, fotos clínicas, lotes y protocolos"
inmobiliaria,venta,52,84,A,Lofty,"LIVE UX SOR E2E","Fotos no cargables en Listings; feed vivo y transacción"
inmobiliaria,arriendo,48,84,A,AppFolio,"LIVE UX SOR PAY REG E2E","Aplicación, screening, contrato, depósito y mantenimiento"
inmobiliaria,comercial,39,70,B,Buildout,"STOP SOR LIVE UX E2E","Espacios/unidades, comps, documentos, propietarios y deal room"
inmobiliaria,construccion,29,60,C,Buildertrend,"STOP MISCLASS SOR PAY E2E","Ambigüedad promotor vs constructor; falta proyecto de obra"
restaurantes,casual_dining,48,74,A,SevenRooms,"SOR LIVE CAP PAY E2E","Mesa/turno/waitlist, POS/KDS, depósitos y guest CRM"
restaurantes,comida_rapida,50,76,A,Toast,"SOR LIVE PAY E2E","POS/KDS, modificadores, pago, delivery y conciliación"
restaurantes,cafeteria,46,70,B,Lightspeed,"SOR LIVE PAY E2E","Variantes, cola/ETA, POS, loyalty e inventario de ingredientes"
restaurantes,dark_kitchen,49,77,A,Deliverect,"SOR LIVE CAP PAY E2E","Agregadores, multi-marca, POS/KDS, dispatch y conciliación"
automotriz,concesionario,50,75,A,Tekion,"SOR LIVE REG PAY E2E","DMS/VIN vivo, trade-in, F&I, documentos y compra"
automotriz,taller,30,75,A,Shopmonkey,"STOP MISCLASS SOR CAP PAY E2E","Repair order, inspección, estimate, aprobación, partes y bahía"
automotriz,repuestos,38,68,B,PartsTech,"SOR LIVE PAY E2E","Fitment VIN, proveedores, backorder, devolución y garantía"
automotriz,alquiler,27,66,B,HQ Rental Software,"STOP WRITER CAP LIVE PAY REG E2E","No writer IA; intervalo, elegibilidad, depósito, contrato y daños"
turismo,agencia_viajes,39,68,B,Travefy,"STOP MISCLASS SOR LIVE PAY E2E","Itinerario/propuesta, proveedores, cotización viva y comisión"
turismo,hotel,49,84,A,Cloudbeds,"SOR LIVE CAP PAY E2E","PMS/channel manager, room types, rates, folio y housekeeping"
turismo,tours,52,74,B,Rezdy,"CAP LIVE PAY UX E2E","Pago posconfirmación, recursos, manifest, pickup, waiver y OTA"
turismo,alquiler_vacacional,51,86,A,Guesty,"SOR LIVE PAY REG E2E","Channel manager API, fees, verificación, tareas y owner accounting"
education,idiomas,43,76,A,Teachworks,"CAP PAY SOR E2E","Cohortes/niveles, recurrencia, asistencia, docente y progreso"
education,universitaria,25,65,B,Element451,"STOP MISCLASS SOR REG PAY E2E","Admissions applicant-to-student, documentos, SIS/LMS y decisión"
education,online,30,70,B,Thinkific,"STOP SOR PAY E2E","Contenido, acceso, progreso, evaluación, certificado y commerce"
education,capacitacion,35,72,B,Arlo,"SOR CAP PAY E2E","Empresa/cohorte, logística, factura, asistencia y certificación"
finanzas,asesoria,24,62,B,Salesforce FSC,"STOP SOR REG LIVE E2E","Household, riesgo, KYC, portafolio vivo, consentimiento y auditoría"
finanzas,fintech,17,55,C,Mambu+Alloy,"STOP MISCLASS SOR REG LIVE E2E","No hay producto concreto, ledger, KYC/AML, riesgo ni disputas"
finanzas,creditos,20,67,B,Blend,"STOP SOR REG LIVE PAY E2E","Solicitud, documentos, buró, underwriting, oferta y desembolso"
servicios_profesionales,abogados,27,68,B,Clio,"STOP SOR REG PAY UX E2E","Conflict check, matter, documentos, plazos, retainer y facturación"
servicios_profesionales,contadores,25,70,B,TaxDome,"STOP SOR REG PAY E2E","Entidad/periodo, portal, documentos, recurring workflow y fiscal"
servicios_profesionales,arquitectos,19,55,C,Monograph,"STOP MISCLASS SOR PAY E2E","Proyecto/fases, entregables, recursos, horas, invoice y margen"
servicios_profesionales,consultores,22,60,C,Scoro,"STOP SOR CAP PAY E2E","SOW, proyecto, staffing, tiempo/gasto, retainer y rentabilidad"
retail,moda,39,72,A,Shopify,"SOR LIVE PAY E2E","Variantes, stock por ubicación, checkout, fulfillment y devoluciones"
retail,electronica,36,68,B,Lightspeed,"SOR LIVE PAY E2E","Specs/compatibilidad, serial, garantía, RMA y servicio"
retail,hogar,38,66,B,Shopify,"SOR LIVE CAP PAY E2E","Dimensiones/configuración, entrega/instalación y special order"
retail,marketplace,18,60,C,Mirakl,"STOP MISCLASS SOR REG PAY E2E","Seller/KYB, catálogo multi-vendor, comisión, payout y disputas"
technology,saas,29,70,B,Intercom Fin,"STOP SOR LIVE REG E2E","Identidad/entitlement, billing, telemetry, ticket y acciones seguras"
technology,consultoria_ti,22,55,C,ConnectWise PSA,"STOP SOR CAP PAY E2E","Ticket/SLA, activos, dispatch, contrato, proyecto y billing"
technology,desarrollo,20,53,C,Productive,"STOP SOR CAP PAY E2E","Scope, backlog/milestones, capacidad, cambios, aceptación y Jira/Git"
technology,hardware,35,62,C,Cin7,"SOR LIVE PAY E2E","Compatibilidad, serial, multi-bodega, fulfillment, warranty/RMA"
veterinaria,clinica_general,41,72,B,ezyVet,"SOR REG LIVE PAY E2E","PIMS/EMR, consentimientos, órdenes, inventario y facturación"
veterinaria,hospital_24h,29,68,B,Instinct,"STOP SOR REG CAP LIVE E2E","Triage, cola ER, camas, treatment sheets y guardias reales"
veterinaria,exoticos,34,55,C,ezyVet,"STOP SOR REG CAP E2E","Especie, rangos/protocolos, especialista, hábitat y PIMS"
veterinaria,peluqueria_canina,35,65,B,MoeGo,"MISCLASS CAP PAY E2E","Duplicado de pet grooming; hereda herramientas clínicas"
gimnasios,gimnasio_general,48,78,A,Glofox,"LIVE CAP PAY UX E2E","Billing/dunning, check-in/access, waivers y entitlement"
gimnasios,crossfit,42,77,A,Wodify,"SOR CAP PAY E2E","WOD, PRs, benchmarks, leaderboard y performance history"
gimnasios,yoga_pilates,43,80,A,Mariana Tek,"CAP PAY UX E2E","Sala/reformer/spot, waitlist, packs y booking visual"
gimnasios,cycling,39,70,B,Mariana Tek,"CAP LIVE PAY UX E2E","Bike/spot map, preferencias, waitlist y mantenimiento"
gimnasios,martial_arts,36,73,B,Zen Planner,"REG CAP PAY E2E","Family/minors, belt/skill, currículo, evaluación y billing"
seguros,broker,39,74,A,Applied Epic,"SOR REG LIVE PAY E2E","AMS/carriers, submissions, bind, renewal, comisión y documentos"
seguros,aseguradora,19,58,C,Guidewire,"STOP MISCLASS SOR REG LIVE E2E","Underwriting, PAS, billing, claims, reservas y reaseguro"
seguros,vida,32,72,B,Equisoft,"STOP SOR REG LIVE E2E","Beneficiarios, illustration, evidence, underwriting, emisión y claim"
seguros,auto,34,74,B,Applied Epic+Guidewire,"SOR REG LIVE PAY E2E","Vehículo/conductor, rating, bind, fotos FNOL y red de taller"
seguros,salud,30,70,B,Salesforce Digital Insurance,"STOP SOR REG LIVE E2E","Miembro/dependiente, red, elegibilidad, autorización, claim/EOB"
servicios_hogar,plomeria,33,75,B,ServiceTitan,"SOR CAP LIVE PAY E2E","Dispatch, skill, ETA, pricebook, work order, partes y factura"
servicios_hogar,electricidad,31,72,B,ServiceTitan,"REG CAP LIVE PAY E2E","Routing seguro, certificación, inspección, estimate y dispatch"
servicios_hogar,fumigacion,27,70,B,FieldRoutes,"STOP SOR REG CAP PAY E2E","Recurrencia, rutas, licencia, químicos/lotes y compliance"
servicios_hogar,limpieza,30,74,B,Jobber,"CAP LIVE PAY E2E","Scope/checklist, recurrencia, crew/route, QA e invoice"
servicios_hogar,jardineria,28,68,B,Jobber,"CAP LIVE PAY E2E","Sitio, recurrencia estacional, crew/equipo, route y job costing"
servicios_hogar,cerrajeria,25,63,C,Housecall Pro,"STOP REG CAP LIVE PAY E2E","Verificar autoridad, dispatch 24h, ETA, pricebook y auditoría"
servicios_hogar,pintura,29,67,B,Jobber,"CAP PAY E2E","Medición/estimate, proyecto multi-día, crew, cambios y milestones"
pet_services,peluqueria,40,72,B,MoeGo,"CAP PAY UX E2E","Ficha grooming, groomer/bather, media, depósito y recurrencia"
pet_services,guarderia,27,68,B,MoeGo,"STOP WRITER CAP LIVE REG PAY E2E","Availability cuenta objeto equivocado; no writer ni capacidad atómica"
